dropout	pre_processing_type	conv_layer_1	conv_layer_shape	size	scalar	re_train_on_known_errors	epochs	time	multi_class_zr_acc	multi_class_model_acc	boolean_zr_acc	boolean_model_acc	run number
0.01	None	16	(3, 3)	16	(0, 1)	0.8	1	19.00062131881714	0.6242857142857143	0.35428571428571426	0.6242857142857143	0.5242857142857142	32
0.01	None	16	(3, 3)	16	(0, 1)	0.8	2	35.68052411079407	0.6242857142857143	0.18428571428571427	0.6242857142857143	0.41	33
0.01	None	16	(3, 3)	16	(0, 1)	0.8	4	61.889265298843384	0.6242857142857143	0.09714285714285714	0.6242857142857143	0.4	34
0.01	None	16	(3, 3)	16	(0, 1)	0.8	8	118.08326268196106	0.6242857142857143	0.37285714285714283	0.6242857142857143	0.5257142857142857	35
0.01	None	16	(3, 3)	16	(0, 1)	1	1	23.590386152267456	0.6242857142857143	0.08285714285714285	0.6242857142857143	0.38142857142857145	36
0.01	None	16	(3, 3)	16	(0, 1)	1	2	39.703145027160645	0.6242857142857143	0.15714285714285714	0.6242857142857143	0.39	37
0.01	None	16	(3, 3)	16	(0, 1)	1	4	79.60285449028015	0.6242857142857143	0.1657142857142857	0.6242857142857143	0.43142857142857144	38
0.01	None	16	(3, 3)	16	(0, 1)	1	8	152.63749194145203	0.6242857142857143	0.17714285714285713	0.6242857142857143	0.44857142857142857	39
0.01	None	16	(3, 3)	16	None	0	1	8.860864877700806	0.6242857142857143	0.08	0.6242857142857143	0.39571428571428574	40
0.01	None	16	(3, 3)	16	None	0	2	13.017856359481812	0.6242857142857143	0.25142857142857145	0.6242857142857143	0.5728571428571428	41
0.01	None	16	(3, 3)	16	None	0	4	18.427372455596924	0.6242857142857143	0.25857142857142856	0.6242857142857143	0.5357142857142857	42
0.01	None	16	(3, 3)	16	None	0	8	35.54964995384216	0.6242857142857143	0.3757142857142857	0.6242857142857143	0.6171428571428571	43
0.01	None	16	(3, 3)	16	None	0.3	1	9.737642288208008	0.6242857142857143	0.2342857142857143	0.6242857142857143	0.5028571428571429	44
0.01	None	16	(3, 3)	16	None	0.3	2	16.09399914741516	0.6242857142857143	0.07	0.6242857142857143	0.3842857142857143	45
0.01	None	16	(3, 3)	16	None	0.3	4	21.202743768692017	0.6242857142857143	0.04857142857142857	0.6242857142857143	0.39571428571428574	46
0.01	None	16	(3, 3)	16	None	0.3	8	42.05692148208618	0.6242857142857143	0.19142857142857142	0.6242857142857143	0.53	47
0.01	None	16	(3, 3)	16	None	0.6	1	14.060142517089844	0.6242857142857143	0.03857142857142857	0.6242857142857143	0.3757142857142857	48
0.01	None	16	(3, 3)	16	None	0.6	2	24.15143585205078	0.6242857142857143	0.3357142857142857	0.6242857142857143	0.5942857142857143	49
0.01	None	16	(3, 3)	16	None	0.6	4	49.250057220458984	0.6242857142857143	0.15714285714285714	0.6242857142857143	0.42857142857142855	50
0.01	None	16	(3, 3)	16	None	0.6	8	83.32678389549255	0.6242857142857143	0.03	0.6242857142857143	0.3757142857142857	51
0.01	None	16	(3, 3)	16	None	0.8	1	17.931381940841675	0.6242857142857143	0.05	0.6242857142857143	0.36714285714285716	52
0.01	None	16	(3, 3)	16	None	0.8	2	32.34013366699219	0.6242857142857143	0.41714285714285715	0.6242857142857143	0.5771428571428572	53
0.01	None	16	(3, 3)	16	None	0.8	4	62.34563946723938	0.6242857142857143	0.12714285714285714	0.6242857142857143	0.3871428571428571	54
0.01	None	16	(3, 3)	16	None	0.8	8	110.27186441421509	0.6242857142857143	0.36428571428571427	0.6242857142857143	0.57	55
